date,type,category,keyword,value
2021-01-05,daily,Sports,T20 World Cup,0.26
2021-01-05,daily,Health,Omicron,0.1
2021-01-05,daily,Tragedy,Bipin Rawat Death,0.1
2021-01-05,daily,"Festival, Days",Independence Day,0.254545454545455
2021-01-05,daily,Business,Zomato IPO,0.1
2021-01-05,daily,Business,PayTM IPO,0.1
2021-01-05,daily,Business,nykaa IPO,0.1
2021-01-05,daily,Elections,West Bengal Election,0.111583928185161
2021-01-05,daily,Health,coronavirus,11.095
2021-01-05,daily,World,Taliban,0.105
2021-01-05,daily,Governance,Air India Divestment,0.1
2021-01-05,daily,Sports,Neeraj Chopra,0.1
2021-01-05,daily,Entertainment,Raj Kundra,0.1
2021-01-05,daily,"Violence, war",Myanmar coup,0.1
2021-01-05,daily,Business,NFT,0.1
2021-01-05,daily,Politics,Farmers Protest,0.525874125874126
2021-01-05,daily,Entertainment,Miss Universe,0.131815856777494
2021-01-05,daily,Tragedy,Lakhimpur Kheri,0.1
2021-01-05,daily,Tragedy,Cyclone Tauktae,0.1
2021-01-05,daily,Tragedy,Cyclone Yaas,0.1
2021-01-05,daily,Tragedy,Cyclone Gulab,0.1
2021-01-05,daily,Tragedy,Cyclone Jawad,0.1
2021-01-05,daily,Politics,Pegasus,0.108985507246377
2021-01-05,daily,Entertainment,Aryan Khan,0.1
2021-01-05,daily,Elections,UP Election,0.29483567977365
2021-01-05,daily,Politics,Bulli Bai app,0.1
2021-01-05,daily,Tragedy,Vaishno Devi stampede,0.1
2021-01-05,daily,"Festival, Days",Ayodhya Deepotsav,0.1
2021-01-05,daily,"Violence, war",Assam Mizoram Border Dispute,0.1
2021-01-05,daily,Tragedy,Uttarakhand flood,0.1
2021-01-05,daily,Elections,KMC Election 2021 Results,0.1
2021-01-05,daily,Politics,Panama Papers,0.1
2021-01-05,daily,Sports,Vijay Hazare Trophy,0.1
2021-01-05,daily,Sports,Novak Djokovic,0.1
2021-01-05,daily,World,Suez Canal Crisis,0.1
2021-01-05,daily,Business,cryptocurrency,0.449704884667571
2021-01-05,daily,"Festival, Days",Kumbh Mela,0.170998321575105
2021-01-05,daily,Sports,Tokyo Olympics,0.1
2021-01-05,daily,health,Delta variant,0.1
2021-01-05,daily,Business,Jack Dorsey quits,0.1
2021-01-05,daily,"Violence, war",Nagaland Killings,0.1
2021-01-05,daily,Sports,IPL Auction,0.320138888888889
2021-01-05,daily,Business,Pandora Papers,0.1
2021-01-05,daily,Sports,India vs South Africa,0.263611111111111
2021-01-05,daily,Sports,Eurocup,0.1
2021-01-05,daily,Health,COVID Vaccine,2.32678571428571
2021-01-05,daily,Business,Elon Musk,0.475
2021-01-05,daily,Entertainment,Vicky Kaushal,0.214642857142857
2021-01-05,daily,Sports,bajrang Punia,0.1
2021-01-05,daily,Sports,P V Sindhu,0.1
2021-01-05,daily,Sports,Sushil Kumar,0.1
2021-01-05,daily,Sports,Paralympics,0.1
2021-01-05,daily,Sports,IPL,2.42857142857143
2021-01-05,daily,Entertainment,Shershaah,0.1
2021-01-05,daily,Entertainment,Sooryavanshi,0.121904761904762
2021-01-05,daily,Entertainment,Drishyam 2,0.22
2021-01-05,daily,health,Bird Flu,1.15333333333333
2021-01-05,daily,Sports,Copa America,0.1
2021-01-05,daily,Sports,Wimbledon,0.103188405797101
2021-01-05,daily,Sports,English Premier League,0.291827863704033
2021-01-06,daily,Sports,T20 World Cup,0.216363636363636
2021-01-06,daily,Health,Omicron,0.1
2021-01-06,daily,Tragedy,Bipin Rawat Death,0.1
2021-01-06,daily,"Festival, Days",Independence Day,0.250909090909091
2021-01-06,daily,Business,Zomato IPO,0.1
2021-01-06,daily,Business,PayTM IPO,0.1
2021-01-06,daily,Business,nykaa IPO,0.1
2021-01-06,daily,Elections,West Bengal Election,0.10839552238806
2021-01-06,daily,Health,coronavirus,10.3505555555556
2021-01-06,daily,World,Taliban,0.1
2021-01-06,daily,Governance,Air India Divestment,0.1
2021-01-06,daily,Sports,Neeraj Chopra,0.1
2021-01-06,daily,Entertainment,Raj Kundra,0.1
2021-01-06,daily,"Violence, war",Myanmar coup,0.1
2021-01-06,daily,Business,NFT,0.1
2021-01-06,daily,Politics,Farmers Protest,0.536480186480187
2021-01-06,daily,Entertainment,Miss Universe,0.132951775304717
2021-01-06,daily,Tragedy,Lakhimpur Kheri,0.1
2021-01-06,daily,Tragedy,Cyclone Tauktae,0.1
2021-01-06,daily,Tragedy,Cyclone Yaas,0.1
2021-01-06,daily,Tragedy,Cyclone Gulab,0.1
2021-01-06,daily,Tragedy,Cyclone Jawad,0.1
2021-01-06,daily,Politics,Pegasus,0.1
2021-01-06,daily,Entertainment,Aryan Khan,0.1
2021-01-06,daily,Elections,UP Election,0.291114567356885
2021-01-06,daily,Politics,Bulli Bai app,0.1
2021-01-06,daily,Tragedy,Vaishno Devi stampede,0.1
2021-01-06,daily,"Festival, Days",Ayodhya Deepotsav,0.1
2021-01-06,daily,"Violence, war",Assam Mizoram Border Dispute,0.1
2021-01-06,daily,Tragedy,Uttarakhand flood,0.1
2021-01-06,daily,Elections,KMC Election 2021 Results,0.1
