date,T20 World Cup,Omicron,Bipin Rawat Death,Independence Day,Zomato IPO,PayTM IPO,nykaa IPO,West Bengal Election,coronavirus,Taliban,Air India Divestment,Neeraj Chopra,Raj Kundra,Myanmar coup,NFT,Farmers Protest,Miss Universe,Lakhimpur Kheri,Cyclone Tauktae,Cyclone Yaas,Cyclone Gulab,Cyclone Jawad,Pegasus,Aryan Khan,UP Election,Bulli Bai app,Vaishno Devi stampede,Ayodhya Deepotsav,Assam Mizoram Border Dispute,Uttarakhand flood,KMC Election 2021 Results,Panama Papers,Vijay Hazare Trophy,Novak Djokovic,cryptocurrency,Kumbh Mela,Tokyo Olympics,Delta variant,Jack Dorsey quits,Nagaland Killings,IPL Auction,Pandora Papers,India vs South Africa,Eurocup,COVID Vaccine,Elon Musk,Vicky Kaushal,bajrang Punia,P V Sindhu,Sushil Kumar,Paralympics,IPL,Shershaah,Sooryavanshi,Drishyam 2,Bird Flu,Copa America,Wimbledon,English Premier League
2021-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-05,0.26,0.1,0.1,0.254545454545455,0.1,0.1,0.1,0.111583928185161,11.095,0.105,0.1,0.1,0.1,0.1,0.1,0.525874125874126,0.131815856777493,0.1,0.1,0.1,0.1,0.1,0.108985507246377,0.1,0.29483567977365,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.449704884667571,0.170998321575105,0.1,0.1,0.1,0.1,0.320138888888889,0.1,0.263611111111111,0.1,2.32678571428571,0.475,0.214642857142857,0.1,0.1,0.1,0.1,2.42857142857143,0.1,0.121904761904762,0.22,1.15333333333333,0.1,0.103188405797101,0.291827863704033
2021-01-06,0.216363636363636,0.1,0.1,0.250909090909091,0.1,0.1,0.1,0.10839552238806,10.3505555555556,0.1,0.1,0.1,0.1,0.1,0.1,0.536480186480187,0.132951775304717,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.291114567356885,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.480335515298202,0.165945442609183,0.1,0.1,0.1,0.1,0.327546296296296,0.1,0.290277777777778,0.1,2.33059523809524,0.469285714285714,0.234642857142857,0.1,0.1,0.1,0.1,2.46190476190476,0.1,0.121904761904762,0.14,2.38333333333333,0.1,0.1,0.27704525500838
2021-01-07,0.200808080808081,0.1,0.1,0.237575757575758,0.1,0.1,0.1,0.121728855721393,10.2005555555556,0.1,0.1,0.1,0.1,0.1,0.1,0.591025641025641,0.119618441971383,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.303235779478098,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.49851733348002,0.16291513957888,0.1,0.1,0.1,0.1,0.334953703703704,0.1,0.403611111111111,0.1,2.07345238095238,1.38357142857143,0.234642857142857,0.1,0.1,0.1,0.1,2.49523809523809,0.1,0.135238095238095,0.126666666666667,3.12333333333333,0.1,0.1,0.187954345917472
2021-01-08,0.177171717171717,0.1,0.1,0.252121212121212,0.1,0.1,0.1,0.13639552238806,9.46166666666667,0.102222222222222,0.1,0.1,0.1,0.1,0.1,0.616783216783217,0.104324324324324,0.1,0.1,0.1,0.1,0.1,0.101333333333333,0.1,0.274765191242803,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.491850666813354,0.149973963108292,0.1,0.1,0.1,0.1,0.322361111111111,0.1,0.417685185185185,0.1,1.6572619047619,2.61690476190476,0.183214285714286,0.1,0.1,0.1,0.1,2.62857142857143,0.1,0.121904761904762,0.113333333333333,3.74058823529412,0.1,0.1,0.11089552238806
2021-01-09,0.187171717171717,0.1,0.1,0.287121212121212,0.1,0.1,0.1,0.144590909090909,9.46523809523809,0.102222222222222,0.1,0.1,0.1,0.1,0.1,0.546076146076146,0.104324324324324,0.1,0.1,0.1,0.1,0.1,0.110424242424242,0.1,0.313896805896806,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.4928276003276,0.206093366093366,0.1,0.1,0.1,0.1,0.313606902356902,0.1,0.385833333333333,0.1,1.48453463203463,3.86235930735931,0.146071428571429,0.1,0.1,0.1,0.1,2.81523809523809,0.1,0.141904761904762,0.12,4.49725490196079,0.1,0.1,0.13
2021-01-10,0.211616161616162,0.1,0.1,0.299242424242424,0.1,0.1,0.1,0.137090909090909,9.89523809523809,0.102222222222222,0.1,0.1,0.1,0.1,0.1,0.529292929292929,0.114627354627355,0.1,0.1,0.1,0.1,0.1,0.110424242424242,0.1,0.3678361998362,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.493054873054873,0.240638820638821,0.1,0.1,0.1,0.1,0.336203056203056,0.1,0.304102564102564,0.1,1.47972693972694,4.51043623043623,0.139340659340659,0.1,0.1,0.1,0.1,2.98666666666667,0.1,0.146666666666667,0.12,4.65058823529412,0.1,0.1,0.139393939393939
2021-01-11,0.211616161616162,0.1,0.1,0.317424242424242,0.1,0.1,0.1,0.137090909090909,9.71746031746031,0.104444444444444,0.1,0.1,0.1,0.1,0.1,0.612626262626263,0.111636363636364,0.1,0.1,0.1,0.1,0.1,0.110424242424242,0.1,0.367151515151515,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.497090909090909,0.256242424242424,0.1,0.1,0.1,0.1,0.32953638953639,0.1,0.277435897435898,0.1,1.38639360639361,4.91043623043623,0.139340659340659,0.1,0.1,0.1,0.1,3.12,0.1,0.146666666666667,0.12,4.20058823529412,0.1,0.1,0.139393939393939
2021-01-12,0.187171717171717,0.1,0.1,0.310757575757576,0.1,0.1,0.1,0.129844532279315,9.69246031746031,0.109444444444444,0.1,0.1,0.1,0.1,0.1,0.776262626262625,0.111636363636364,0.1,0.1,0.1,0.1,0.1,0.110424242424242,0.1,0.337902503293808,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.100289855072464,0.471399209486166,0.274951251646904,0.1,0.1,0.1,0.1,0.318954378954379,0.1,0.164102564102564,0.1,1.51496503496504,4.32472194472195,0.139340659340659,0.1,0.1,0.1,0.1,3.08666666666667,0.1,0.146666666666667,0.12,4.20058823529412,0.1,0.1,0.165770750988142
